table,variable,value,label
hh,participation_group,1,"Signup survey completed via browserMove, Diary completed via browserMove"
hh,participation_group,2,"Signup survey completed via browserMove, Diary completed via call center"
hh,participation_group,3,"Signup survey completed via browserMove, Diary completed via rMove"
hh,participation_group,4,"Signup survey completed via call center, Diary completed via browserMove"
hh,participation_group,5,"Signup survey completed via call center, Diary completed via call center"
hh,participation_group,6,"Signup survey completed via call center, Diary completed via rMove"
hh,participation_group,7,"Signup survey completed via rMove, Diary completed via browserMove"
hh,participation_group,8,"Signup survey completed via rMove, Diary completed via call center"
hh,participation_group,9,"Signup survey completed via rMove, Diary completed via rMove"
hh,is_complete,0,No
hh,is_complete,1,Yes
hh,is_complete,995,Missing response
hh,is_survey_complete,0,No
hh,is_survey_complete,1,Yes
hh,is_survey_complete,995,Missing response
hh,num_people,1,1 person
hh,num_people,2,2 people
hh,num_people,3,3 people
hh,num_people,4,4 people
hh,num_people,5,5 people
hh,num_people,6,6 people
hh,num_people,7,7 people
hh,num_people,8,8 people
hh,num_people,9,9 people
hh,num_people,10,10 people
hh,num_people,11,11 people
hh,num_people,12,12 people
hh,num_people,13,13 or more people
hh,num_participants,1,1 participant
hh,num_participants,2,2 participants
hh,num_participants,3,3 participants
hh,num_participants,4,4 participants
hh,num_participants,5,5 participants
hh,num_participants,6,6 participants
hh,num_participants,7,7 participants
hh,num_participants,8,8 participants
hh,num_participants,9,9 participants
hh,num_participants,10,10 participants
hh,num_adults,1,1 adult
hh,num_adults,2,2 adults
hh,num_adults,3,3 adults
hh,num_adults,4,4 adults
hh,num_adults,5,5 adults
hh,num_adults,6,6 adults
hh,num_adults,7,7 adults
hh,num_adults,8,8 adults
hh,num_adults,9,9 adults
hh,num_adults,10,10 adults
hh,num_adults,11,11 adults
hh,num_adults,12,12 adults
hh,num_adults,13,13 or more adults
hh,num_adults,995,Missing Response
hh,num_kids,0,0 children
hh,num_kids,1,1 child
hh,num_kids,2,2 children
hh,num_kids,3,3 children
hh,num_kids,4,4 children
hh,num_kids,5,5 children
hh,num_kids,6,6 children
hh,num_kids,7,7 children
hh,num_kids,8,8 children
hh,num_kids,9,9 children
hh,num_kids,10,10 children
hh,num_kids,11,11 children
hh,num_kids,12,12 children
hh,num_kids,13,13 or more children
hh,num_kids,995,Missing Response
hh,num_workers,0,0 (No workers)
hh,num_workers,1,1 worker
hh,num_workers,2,2 workers
hh,num_workers,3,3 workers
hh,num_workers,4,4 workers
