NAME_New,ROUTEID,LONGNAME,NAME,numRecords,minYear,maxYear,minMode,NAMEwithZeros
701_Blue,701,701 - TRAX Blue Line,Blue,62,2019,2050,7,Blue
703_Red,703,703 - TRAX Red Line,Red,64,2019,2050,7,Red
704_Green,704,704 - TRAX Green Line,Green,64,2019,2050,7,Green
720_SLine,720,720 - S-Line,Sline,62,2019,2050,7,Sline
750_FR,750,750 - FrontRunner,RCRT_WEPN,64,2019,2050,8,RCRT_WEPN
750_FR,750,750 - FrontRunner,RCRT_OGPN,64,2019,2050,8,RCRT_OGPN
BE630,630,630 - Brigham City-Ogden Comm,O630,64,2019,2050,4,O630
DA460,460,460 - Woods Cross,D460,7,2019,2050,4,D460
DA461,461,461 - Bountiful via State Capitol,D461,7,2019,2050,4,D461
DA462,462,462 - North Salt Lake,D462,7,2019,2050,4,D462
DA605F,F605,F605 - Bountiful - Centerville Flex,FD605,14,2019,2050,4,FD605
DA605F,F605,F605 - Bountiful - Centerville Flex,OF605,46,2028,2050,4,OF605
DA626,626,626 - West Roy - Clearfield Station,O626,64,2019,2050,4,O626
DA640,640,640 - Layton Hills Mall - WSU Ogden Camp,O640,64,2019,2050,4,O640
MAG_001,,BRT_ProOrm_50,BRT_ProOrm_50,4,2050,2050,9,BRT_ProOrm_50
MAG_002,,BRT_VinOrm,BRT_VinOrm,14,2042,2050,9,BRT_VinOrm
MAG_003,,Core_Cedar,Core_Cedar,7,2030,2050,5,Core_Cedar
MAG_004,,Core_CedarAF,Core_CedarAF,1,2042,2042,5,Core_CedarAF
MAG_005,,Core_CedarLehi,Core_CedarLehi,11,2032,2050,5,Core_CedarLehi
MAG_006,,Core_Maple,Core_Maple,36,2030,2050,5,Core_Maple
MAG_007,,Core_Nebo,Core_Nebo,15,2032,2050,5,Core_Nebo
MAG_008,,Core_State850,Core_State850,4,2032,2042,5,Core_State850
MAG_009,,MAG_LRT,MAG_LRT,8,2042,2050,7,MAG_LRT
MAG_010,,P_AF,P_AF,8,2030,2050,4,P_AF
MAG_011,,P_Alpine,P_Alpine,12,2030,2050,4,P_Alpine
MAG_012,,P_EagleMtn,P_EagleMtn,6,2030,2050,4,P_EagleMtn
MAG_013,,P_Lehi1,P_Lehi1,12,2030,2050,4,P_Lehi1
MAG_014,,P_Lehi2,P_Lehi2,12,2030,2050,4,P_Lehi2
MAG_015,,P_Lehi3,P_Lehi3,12,2030,2050,4,P_Lehi3
MAG_016,,P_Orem,P_Orem,12,2030,2050,4,P_Orem
MAG_017,,P_Provo1,P_Provo1,12,2030,2050,4,P_Provo1
MAG_018,,P_Provo2,P_Provo2,6,2030,2050,4,P_Provo2
MAG_019,,P_Provo3,P_Provo3,12,2030,2050,4,P_Provo3
MAG_020,,P_Provo4,P_Provo4,8,2030,2050,4,P_Provo4
MAG_021,,P_ProvoC,P_ProvoC,12,2030,2050,4,P_ProvoC
MAG_022,,P_Santaquin,P_Santaquin,12,2030,2050,4,P_Santaquin
MAG_023,,P_Saratoga1,P_Saratoga1,10,2030,2050,4,P_Saratoga1
MAG_024,,P_Saratoga2,P_Saratoga2,12,2030,2050,4,P_Saratoga2
MAG_025,,P_SF1,P_SF1,12,2030,2050,4,P_SF1
MAG_026,,P_SF2,P_SF2,12,2030,2050,4,P_SF2
MAG_027,,P_Springville,P_Springville,12,2030,2050,4,P_Springville
MAG_028,,Santaquin_Exp,Santaquin_Exp,10,2032,2050,4,Santaquin_Exp
SL001,001,001 - 100 South,S1,26,2019,2050,4,S001
SL002,002,002 - 200 South,S2,26,2019,2050,4,S002
SL002X,002X,002X - 200 South Express,S2X,30,2019,2050,6,S2X
SL003,003,003 - West Side Connector,S3,7,2019,2050,4,S003
SL004,004,004 - 400 South/Foothill Drive,S4,27,2019,2050,4,S004
SL006,006,006 - 6th Avenue,S6,7,2019,2050,4,S006
SL009,009,009 - 900 South,S9,28,2019,2050,4,S009
SL011,011,011 - 11th Avenue,S11,7,2019,2050,4,S011
SL011F,F011,F011 - 11th Ave Flex,SF11,50,2023,2050,4,SF011
SL017,017,017 - 1700 South,S17,64,2019,2050,4,S017
SL021,021,021 - 2100 South-2100 East,S21,26,2019,2050,4,S021
SL031,031,031 - 3100 South,S31,46,2028,2050,4,S031
SL033,033,033 - 3300 South,S33,28,2019,2050,4,S033
SL035,035,035 - 3500 South,BRT3500S,8,2019,2024,5,BRT3500S
SL035,035,035 - 3500 South,S35,34,2019,2050,4,S035
SL039,039,039 - 3900 South,S39,46,2019,2050,4,S039
SL041,041,041 - 4100 South,S41,8,2019,2024,4,S041
SL045,045,045 - 4500 South,S45,34,2019,2050,4,S045
SL047,047,047 - 4700 South,S47,34,2019,2050,4,S047
SL054,054,054 - 5400 South,S54,28,2019,2050,4,S054
